Q#,Question Text,Correct Answer,Unit Index,Grammar Topic,Explanation for Beginners,Explanation (VI),Explanation (ES),Explanation (ZH),Distractor 1,Distractor 2,Distractor 3
11,My sister __________ economics and politics when she goes to university.,A (is going to study),Unit 5,Future 1,"We use ""going to"" for future plans.","Chúng ta dùng ""going to"" cho các kế hoạch trong tương lai.","Usamos ""going to"" para planes futuros.","我们使用 ""going to"" 来表示未来的计划。",will study,studies,studying
12,While we’re working on the project next week our boss __________ on a beach in Greece!,C (will be sitting),Unit 6,Future 2,We use Future Continuous for actions that will be in progress at a time in the future.,Chúng ta dùng thì Tương lai tiếp diễn cho các hành động sẽ đang diễn ra tại một thời điểm trong tương lai.,Usamos el Futuro Continuo para acciones que estarán en progreso en un momento en el futuro.,我们使用将来进行时来表示将来某时刻正在进行的动作。,sits,sat,will sit
13,"If the trend continues, the average income __________ by 107% by 2030.",B (will have increased),Unit 6,Future 2,We use Future Perfect for actions that will be finished before a time in the future.,Chúng ta dùng thì Tương lai hoàn thành cho các hành động sẽ hoàn tất trước một thời điểm trong tương lai.,Usamos el Futuro Perfecto para acciones que habrán terminado antes de un momento en el futuro.,我们使用将来完成时来表示将来某时刻之前将完成的动作。,will increase,increases,has increased
14,You can base your geography assignment on __________ country – it doesn’t matter which.,C (any),Unit 7,Countable and uncountable nouns,"We use ""any"" when it does not matter which one you choose.","Chúng ta dùng ""any"" khi việc bạn chọn cái nào không quan trọng.","Usamos ""any"" cuando no importa cuál elijas.","当你选择哪一个并不重要时，我们使用 ""any""。",some,many,no
15,There aren’t __________ places left on the course so you’d better apply soon.,B (many),Unit 7,Countable and uncountable nouns,"We use ""many"" for things we can count in negative sentences.","Chúng ta dùng ""many"" cho những thứ đếm được trong câu phủ định.","Usamos ""many"" para cosas que podemos contar en oraciones negativas.","我们在否定句中将 ""many"" 用于可数名词。",much,some,little
16,I don’t know whether to accept the job offer. It’s __________ .,A (a difficult decision),Unit 8,Referring to nouns,"We use ""a"" because ""decision"" is one single thing (countable).","Chúng ta dùng ""a"" vì ""decision"" là danh từ đếm được số ít.","Usamos ""a"" porque ""decision"" es una sola cosa (contable).","我们将 ""a"" 用于 ""decision""，因为它是单数可数名词。",difficult decision,the difficult decision,difficult decisions
17,"For those of you new to the company, this leaflet is full of __________ .",C (valuable information),Unit 8,Referring to nouns,"""Information"" is uncountable, so we cannot use ""a"" or ""an"".","""Information"" là danh từ không đếm được, nên không dùng ""a"" hoặc ""an"".","""Information"" es incontable, así que no podemos usar ""a"" o ""an"".","""Information"" 是不可数名词，所以我不能使用 ""a"" 或 ""an""。",valuable informations,a valuable information,an information
18,The manager interviewed __________ candidates in turn.,A (each of the),Unit 8,Referring to nouns,"We say ""each of the"" before a plural noun.","Chúng ta dùng ""each of the"" trước một danh từ số nhiều.","Decimos ""each of the"" antes de un sustantivo plural.","我们在复数名词前使用 ""each of the""。",every,all,some
19,I know it’s not much of a present but I made it __________ .,B (myself),Unit 9,Pronouns and referencing,"We use a reflexive pronoun (like ""myself"") to emphasize who did the action.","Chúng ta dùng đại từ phản thân (như ""myself"") để nhấn mạnh người thực hiện hành động.","Usamos un pronombre reflexivo (como ""myself"") para enfatizar quién hizo la acción.","我们使用反身代词（如 ""myself""）来强调动作的执行者。",me,my,mine
20,You should visit Bath. It’s __________ city.,C (an interesting historical),Unit 10,Adjectives and adverbs,"Opinion words (like ""interesting"") come before fact words (like ""historical"").","Từ chỉ ý kiến (như ""interesting"") đứng trước từ chỉ thực tế (như ""historical"").","Las palabras de opinión (como ""interesting"") van antes de las palabras de hecho (como ""historical"").","观点形容词（如 ""interesting""）位于事实形容词（如 ""historical""）之前。",an historical interesting,a historical interesting,a interesting historical
21,The government has released some __________ data showing how schools are not providing an adequate education to our children.,A (shocking),Unit 10,Adjectives and adverbs,"We use adjectives ending in ""-ing"" to describe the thing causing the feeling.","Chúng ta dùng tính từ kết thúc bằng ""-ing"" để mô tả tác nhân gây ra cảm xúc.","Usamos adjetivos terminados en ""-ing"" para describir la cosa que causa el sentimiento.","我们使用以 ""-ing"" 结尾的形容词来描述引起这种感觉的事物。",shocked,shock,shocks
22,You really should go to Namibia. The scenery is __________ stunning and the people are very friendly.,C (absolutely),Unit 10,Adjectives and adverbs,"We use ""absolutely"" (not ""very"") with extreme adjectives like ""stunning"".","Chúng ta dùng ""absolutely"" (không dùng ""very"") với các tính từ cực cấp như ""stunning"".","Usamos ""absolutely"" (no ""very"") con adjetivos extremos como ""stunning"".","我们配合 ""absolutely""（而不是 ""very""）使用极端形容词（如 ""stunning""）。",very,too,extremely
23,This factory produces some of __________ cameras in the world.,B (the best),Unit 11,Comparing things,"We always use ""the"" before superlative adjectives (like ""best"", ""tallest"").","Chúng ta luôn dùng ""the"" trước tính từ so sánh nhất (như ""best"", ""tallest"").","Siempre usamos ""the"" antes de adjetivos superlativos (como ""best"", ""tallest"").","我们总是在最高级形容词（如 ""best"", ""tallest""）前使用 ""the""。",best,better,good
24,__________ people live in the countryside than 100 years ago.,C (Fewer),Unit 11,Comparing things,"We use ""fewer"" for things we can count (like ""people"").","Chúng ta dùng ""fewer"" cho những thứ có thể đếm được (như ""people"").","Usamos ""fewer"" para cosas que podemos contar (como ""people"").","我们将 ""fewer"" 用于可数名词（如 ""people""）。",Less,Little,Least
25,The bookshop __________ the end of the road is excellent.,A (at),Unit 12,The noun phrase,"We use ""at"" for a specific place.","Chúng ta dùng ""at"" cho một địa điểm cụ thể.","Usamos ""at"" para un lugar específico.","我们在特定地点前使用 ""at""。",in,on,to
26,There were millions of people around the world __________ the football match live on television.,B (watching),Unit 12,The noun phrase,"We use the ""-ing"" form to describe the noun actively doing something.","Chúng ta dùng dạng ""-ing"" để mô tả danh từ đang chủ động làm gì đó.","Usamos la forma ""-ing"" para describir al sustantivo haciendo algo activamente.","我们使用 ""-ing"" 形式来描述主动做某事的名词。",watch,watched,to watch
27,Scientists finally __________ find a cure for the disease after years of research.,A (managed to),Unit 13,Modals 1,"We use ""managed to"" when we succeed in doing something difficult.","Chúng ta dùng ""managed to"" khi thành công làm việc gì đó khó khăn.","Usamos ""managed to"" cuando logramos hacer algo difícil.","当我们成功做成某件困难的事时，我们使用 ""managed to""。",could,can,able to
28,She got a terrible mark in the exam so she __________ very hard at all.,B (can’t have worked),Unit 13,Modals 1,"We use ""can't have"" when we are sure something did not happen in the past.","Chúng ta dùng ""can't have"" khi chắc chắn điều gì đó đã không xảy ra trong quá khứ.","Usamos ""can't have"" cuando estamos seguros de que algo no sucedió en el pasado.","当我们确定某事在过去没有发生时，我们使用 ""can't have""。",mustn't have worked,shouldn't have worked,couldn't work
29,What __________ in order to get a permit to work in your country?,A (do I need to do),Unit 14,Modals 2,"This is the correct way to ask ""Is it necessary?"".","Đây là cách đúng để hỏi ""Có cần thiết không?"".","Esta es la forma correcta de preguntar ""¿Es necesario?"".",这是询问“有必要吗？”的正确方式。,do I must do,I need to do,must I to do
30,When you write your essays you __________ copy ideas from books without referencing them properly.,A (mustn’t),Unit 14,Modals 2,"We use ""must not"" to say something is not allowed.","Chúng ta dùng ""must not"" để nói điều gì đó không được phép.","Usamos ""must not"" para decir que algo no está permitido.","我们使用 ""must not"" 来表示某事是不允许的。",don't have to,needn't,couldn't
31,Doctors have __________ us to cut down on salt in our diets if we want to reduce the risk of getting heart disease.,C (advised),Unit 15,Reported speech,"After ""advise"", we use a person + ""to do"".","Sau ""advise"", chúng ta dùng một người + ""to do"".","Después de ""advise"", usamos una persona + ""to do"".","在 ""advise"" 之后，我们接某人 + ""to do""。",suggested,proposed,recommended
32,"__________ this newspaper report, more women smoke than men nowadays.",B (According to),Unit 15,Reported speech,"We use ""according to"" to say where information comes from.","Chúng ta dùng ""according to"" để nói thông tin đến từ đâu.","Usamos ""according to"" para decir de dónde viene la información.","我们使用 ""according to"" 来引出信息的来源。",Regarding,Following,Referring to
33,My parents encouraged __________ this course.,A (me to do),Unit 16,Verb + verb patterns,"After ""encourage"", we use a person + ""to do"".","Sau ""encourage"", chúng ta dùng một người + ""to do"".","Después de ""encourage"", usamos una persona + ""to do"".","在 ""encourage"" 之后，我们接某人 + ""to do""。",me doing,that I do,to do
34,What will you do if __________,A (you don’t get a good IELTS score?),Unit 17,Likelihood based on conditions 1,We use the First Conditional for real possibilities in the future.,Chúng ta dùng câu điều kiện loại 1 cho những khả năng có thực trong tương lai.,Usamos el Primer Condicional para posibilidades reales en el futuro.,我们使用第一条件句来表示将来可能发生的情况。,you shouldn't get a good IELTS score?,you won't get a good IELTS score?,you aren't getting a good IELTS score?
35,"A recent government report has warned that __________ we act immediately to reduce pollution, there will be serious consequences for the planet.",C (unless),Unit 17,Likelihood based on conditions 1,"""Unless"" means the same as ""if not"".","""Unless"" có nghĩa tương đương với ""if not"" (trừ khi).","""Unless"" significa lo mismo que ""if not"".","""Unless"" 的意思与 ""if not"" 相同。",if,when,provided
36,"If I didn’t have to work tonight, __________",A (I’d be able to relax now.),Unit 18,Likelihood based on conditions 2,We use the Second Conditional for imaginary situations.,Chúng ta dùng câu điều kiện loại 2 cho các tình huống tưởng tượng.,Usamos el Segundo Condicional para situaciones imaginarias.,我们使用第二条件句来表示想象的情况。,I'll be able to relax now.,I can relax now.,I will relax now.
37,I wish that man __________ tapping his fingers on the table. It’s really annoying me.,C (would stop),Unit 18,Likelihood based on conditions 2,"We use ""wish... would"" for annoying habits we want to change.","Chúng ta dùng ""wish... would"" cho những thói quen khó chịu mà ta muốn thay đổi.","Usamos ""wish... would"" para hábitos molestos que queremos cambiar.","我们使用 ""wish... would"" 来表示想要改变的恼人习惯。",stops,will stop,has stopped
38,I’m aiming __________ a band 7 in IELTS.,B (for),Unit 19,Prepositions,"We say ""aim for"" a goal.","Chúng ta nói ""aim for"" một mục tiêu.","Decimos ""aim for"" una meta.","我们用 ""aim for"" 表示设定目标。",to,at,on
39,Do you have any knowledge __________ how our education system works?,A (of),Unit 19,Prepositions,"We say ""knowledge of"" a subject.","Chúng ta nói ""knowledge of"" một chủ đề.","Decimos ""knowledge of"" un tema.","我们用 ""knowledge of"" 表示对某学科的了解。",about,in,for
40,The minister __________ is responsible for education has just resigned.,B (who),Unit 20,Relative clauses,"We use ""who"" for people.","Chúng ta dùng ""who"" cho người.","Usamos ""who"" para personas.","我们用 ""who"" 指代人。",which,whom,where
41,The University of St Andrews __________ is the oldest university in Scotland.,"B (, which was founded in 1413,)",Unit 20,Relative clauses,We use commas for extra information that isn't essential.,Chúng ta dùng dấu phẩy cho những thông tin thêm không thiết yếu.,Usamos comas para información extra que no es esencial.,我们使用逗号来分隔非必要的额外信息。,", that was founded in 1413,","that was founded in 1413,",which was founded in 1413
42,Many children these days do not have a healthy diet. __________ is possible that this is because less healthy foods are cheaper than healthy ones.,C (It),Unit 21,Ways of organising texts,"We use ""It"" to start sentences like this.","Chúng ta dùng ""It"" để bắt đầu những câu như thế này.","Usamos ""It"" para comenzar oraciones como esta.","我们使用 ""It"" 作为这类句子的主语。",There,This,That
43,The charity is trying to find ways to save and __________ the world’s endangered animal species.,C (protect),Unit 21,Ways of organising texts,"We can remove words like ""to"" to avoid repeating them.","Chúng ta có thể lược bỏ những từ như ""to"" để tránh lặp lại.","Podemos eliminar palabras como ""to"" para evitar repetirlas.","我们可以省略像 ""to"" 这样的词以避免重复。",to protect,protecting,protection
44,"In the past we threw a lot of our kitchen waste away, but today many items such as plastic bottles and newspapers __________ .",A (are recycled),Unit 22,The passive,We use the Passive Voice when the action is more important than who did it.,Chúng ta dùng câu Bị động khi hành động quan trọng hơn người thực hiện.,Usamos la Voz Pasiva cuando la acción es más importante que quién la hizo.,当动作比动作的执行者更重要时，我们使用被动语态。,recycle,recycled,are recycling
45,I can’t pick you up from the station on Wednesday because __________ on that day.,A (I’m having my car fixed),Unit 22,The passive,We say "have something done" when someone else does a service for us.,Chúng ta nói "have something done" khi ai đó làm dịch vụ gì đó cho mình.,Decimos "have something done" cuando alguien más nos hace un servicio.,"我们说 ""have something done"" 当别人为我们提供服务时。",I fixing my car,my car is fixing,I fix my car
46,"These drugs are the best medicine available as a treatment at the moment, __________ they are expensive, unfortunately.",A (although),Unit 23,Linking ideas,We use this word to show a contrast or difference.,Chúng ta dùng từ này để thể hiện sự đối lập hoặc khác biệt.,Usamos esta palabra para mostrar un contraste o diferencia.,我们使用这个词来表示对比或差异。,however,despite,because
47,Learning a foreign language is important because it helps you to understand other cultures better. __________ it can be a useful skill in many areas of work.,"C (In addition,)",Unit 23,Linking ideas,We use this word to add similar information.,Chúng ta dùng từ này để thêm thông tin tương tự.,Usamos esta palabra para agregar thông tin tương tự.,我们使用这个词来添加类似的信息.,"However,","Therefore,","For example,"
48,__________ I can’t go to the conference as I’ve got to go to Sydney on business.,B (Unfortunately),Unit 24,Showing your position in a text,We use this word to introduce bad news.,Chúng ta dùng từ này để thông báo tin xấu.,Usamos esta palabra para introducir malas noticias.,我们使用这个词来引出坏消息。,Although,Despite,However
49,__________ I think it’s useful to write an outline of your essay before you start to write the first draft.,"C (Personally,)",Unit 24,Showing your position in a text,We use this word to give our personal opinion.,Chúng ta dùng từ này để đưa ra ý kiến cá nhân.,Usamos esta palabra para dar nuestra opinión personal.,我们使用这个词来表达个人观点。,"Frankly,","Ideally,","Especially,"
50,The __________ of dark red spots is one of the first signs of the disease.,A (appearance),Unit 25,Nominalisation in written English,"We need a noun (a thing word) after ""The"".","Chúng ta cần một danh từ (từ chỉ sự vật) sau ""The"".","Necesitamos un sustantivo (una palabra de cosa) después de ""The"".","我们在 ""The"" 之后需要一个名词。",appear,appearing,appears
51,Nurses usually __________ long hours in the hospital.,A (work),Unit 1,Present tenses,We use the Present Simple for facts and habits.,Chúng ta dùng thì Hiện tại đơn cho sự thật và thói quen.,Usamos el Presente Simple para hechos y hábitos.,我们使用一般现在时来表示事实和习惯。,working,works,are working
52,My brother __________ for a technology company in Dublin.,B (works),Unit 1,Present tenses,We use the Present Simple for facts and habits.,Chúng ta dùng thì Hiện tại đơn cho sự thật và thói quen.,Usamos el Presente Simple para hechos y hábitos.,我们使用一般现在时来表示事实和习惯。,working,work,is working
53,"In this region, it rarely __________ during the summer months.",B (rains),Unit 1,Present tenses,We use the Present Simple for facts and habits.,Chúng ta dùng thì Hiện tại đơn cho sự thật và thói quen.,Usamos el Presente Simple para hechos y hábitos.,我们使用一般现在时来表示事实和习惯。,raining,rain,is raining
54,The population of the city __________ rapidly this year.,C (is increasing),Unit 1,Present tenses,"We use Present Continuous for changes happening around now (""this year"").","Chúng ta dùng thì Hiện tại tiếp diễn cho những thay đổi đang xảy ra gần đây (""this year"").","Usamos el Presente Continuo para cambios que ocurren alrededor de ahora (""this year"").","我们使用现在进行时来表示近期发生的变化（""this year""）。",increases,increased,increase
55,"I can’t talk right now, I __________ dinner for the guests.",C (am cooking),Unit 1,Present tenses,We use Present Continuous for actions happening exactly now.,Chúng ta dùng thì Hiện tại tiếp diễn cho các hành động đang xảy ra chính xác vào lúc này.,Usamos el Presente Continuo para acciones que ocurren exactamente ahora.,我们使用现在进行时来表示此时此刻正在发生的动作。,cook,cooked,cooks
56,Listen! Someone __________ the piano upstairs.,C (is playing),Unit 1,Present tenses,We use Present Continuous for actions happening exactly now.,Chúng ta dùng thì Hiện tại tiếp diễn cho các hành động đang xảy ra chính xác vào lúc này.,Usamos el Presente Continuo para acciones que ocurren exactamente ahora.,我们使用现在进行时来表示此时此刻正在发生的动作。,plays,play,played
57,She __________ a car when she lived in the city center.,A (didn’t have),Unit 2,Past tenses 1,"We use ""didn't have"" for the past of ""have"".","Chúng ta dùng ""didn't have"" cho quá khứ của ""have"".","Usamos ""didn't have"" para el pasado de ""have"".","因为 ""had"" 是过去式，它的否定形式是 ""didn't have""。",no had,not have,haven't
58,We __________ any problems with the reservation last night.,A (didn’t have),Unit 2,Past tenses 1,"We use ""didn't have"" for the past of ""have"".","Chúng ta dùng ""didn't have"" cho quá khứ của ""have"".","Usamos ""didn't have"" para el pasado de ""have"".","因为 ""had"" 是过去式，它的否定形式是 ""didn't have""。",hadn't,no had,not have
59,He __________ time to finish the exam yesterday.,A (didn’t have),Unit 2,Past tenses 1,"We use ""didn't have"" for the past of ""have"".","Chúng ta dùng ""didn't have"" cho quá khứ của ""have"".","Usamos ""didn't have"" para el pasado de ""have"".","因为 ""had"" 是过去式，它的否定形式是 ""didn't have""。",hadn't,no have,haven't
60,She __________ live in Paris before she moved to London.,A (used to),Unit 2,Past tenses 1,"We use ""used to"" for past situations that are finished.","Chúng ta dùng ""used to"" cho các tình huống trong quá khứ đã kết thúc.","Usamos ""used to"" para situaciones pasadas que han terminado.","我们使用 ""used to"" 来表示已经结束的过去情况。",use to,usually,using
61,"I __________ think that coffee was bad for you, but now I drink it every day.",A (used to),Unit 2,Past tenses 1,"We use ""used to"" for things that were true in the past but not now.","Chúng ta dùng ""used to"" cho những việc đã đúng trong quá khứ nhưng giờ không còn nữa.","Usamos ""used to"" para cosas que eran ciertas en el pasado pero no ahora.","我们使用 ""used to"" 来表示过去是真实的但现在已不再真实的事情。",use to,usually,get used to
62,We __________ have a big garden when we were children.,A (used to),Unit 2,Past tenses 1,"We use ""used to"" for things we had in the past but not now.","Chúng ta dùng ""used to"" cho những thứ chúng ta có trong quá khứ nhưng giờ không còn.","Usamos ""used to"" para cosas que teníamos en el pasado pero no ahora.","我们使用 ""used to"" 来表示过去拥有但现在不再拥有的东西。",use to,usually,using
63,I __________ a book when the lights suddenly went out.,B (was reading),Unit 2,Past tenses 1,We use Past Continuous for a longer action interrupted by a short one.,Chúng ta dùng thì Quá khứ tiếp diễn cho một hành động dài bị ngắt quãng bởi một hành động ngắn.,Usamos Pasado Continuo para una acción más larga interrumpida por una corta.,我们使用过去进行时来表示被短暂动作打断的长动作。,read,am reading,have read
64,They __________ dinner when the guests arrived.,B (were having),Unit 2,Past tenses 1,We use Past Continuous for a longer action interrupted by a short one.,Chúng ta dùng thì Quá khứ tiếp diễn cho một hành động dài bị ngắt quãng bởi một hành động ngắn.,Usamos Pasado Continuo para una acción más larga interrumpida por una corta.,我们使用过去进行时来表示被短暂动作打断的长动作。,had,are having,have
65,He __________ to work when he saw the accident.,B (was driving),Unit 2,Past tenses 1,We use Past Continuous for a longer action interrupted by a short one.,Chúng ta dùng thì Quá khứ tiếp diễn cho một hành động dài bị ngắt quãng bởi một hành động ngắn.,Usamos Pasado Continuo para una acción más larga interrumpida por una corta.,我们使用过去进行时来表示被短暂动作打断的长动作。,drove,drives,is driving
66,I bought the ingredients but I __________ the cake yet.,B (haven’t baked),Unit 3,Present perfect,"We use ""yet"" with ""have/has not"" to talk about something expected.","Chúng ta dùng ""yet"" với ""have/has not"" để nói về điều gì đó được mong đợi.","Usamos ""yet"" con ""have/has not"" para hablar de algo esperado.","我们配合 ""have/has not"" 使用 ""yet"" 来谈论预期的事情。",didn't bake,don't bake,not baked
67,She wrote the email but she __________ it yet.,B (hasn’t sent),Unit 3,Present perfect,"We use ""yet"" with ""have/has not"" to talk about something expected.","Chúng ta dùng ""yet"" với ""have/has not"" để nói về điều gì đó được mong đợi.","Usamos ""yet"" con ""have/has not"" para hablar de algo esperado.","我们配合 ""have/has not"" 使用 ""yet"" 来谈论预期的事情。",didn't send,don't send,not sent
68,We prepared the presentation but we __________ it to the manager yet.,B (haven’t shown),Unit 3,Present perfect,"We use ""yet"" with ""have/has not"" to talk about something expected.","Chúng ta dùng ""yet"" với ""have/has not"" để nói về điều gì đó được mong đợi.","Usamos ""yet"" con ""have/has not"" para hablar de algo esperado.","我们配合 ""have/has not"" 使用 ""yet"" 来谈论预期的事情。",didn't show,don't show,not showed
69,I __________ this movie four times already.,B (have seen),Unit 3,Present perfect,We use Present Perfect to say how many times something has happened.,Chúng ta dùng thì Hiện tại hoàn thành để nói việc gì đó đã xảy ra bao nhiêu lần.,Usamos el Presente Perfecto para decir cuántas veces ha sucedido algo.,我们使用现在完成时来表示某事发生的次数。,saw,see,seeing
70,She __________ five books this year.,B (has written),Unit 3,Present perfect,"We use Present Perfect for actions in an unfinished time period (like ""today"" or ""this year"").","Chúng ta dùng thì Hiện tại hoàn thành cho các hành động trong khoảng thời gian chưa kết thúc (như ""today"" hay ""this year"").","Usamos el Presente Perfecto para acciones en un período de tiempo no terminado (como ""today"" o ""this year"").","我们使用现在完成时来表示在未结束的时间段内（如 ""today"" 或 ""this year""）发生的动作。",wrote,writes,writing
71,They __________ to Japan twice.,C (have been),Unit 3,Present perfect,"""Have been"" means someone went somewhere and came back.","""Have been"" có nghĩa là ai đó đã đi đâu đó và đã trở về.","""Have been"" significa que alguien fue a algún lugar y regresó.","""Have been"" 意味着某人去了某地并已经回来了。",have gone,went,go
72,"When we got to the station, the train __________.",B (had left),Unit 4,Past tenses 2,We use Past Perfect for the first of two past actions.,Chúng ta dùng thì Quá khứ hoàn thành cho hành động xảy ra trước trong hai hành động quá khứ.,Usamos el Pasado Perfecto para la primera de dos acciones pasadas.,我们使用过去完成时来表示两个过去动作中先发生的那个。,left,has left,was leaving
73,"By the time I finished my work, everyone else __________ home.",B (had gone),Unit 4,Past tenses 2,We use Past Perfect for the first of two past actions.,Chúng ta dùng thì Quá khứ hoàn thành cho hành động xảy ra trước trong hai hành động quá khứ.,Usamos el Pasado Perfecto para la primera de dos acciones pasadas.,我们使用过去完成时来表示两个过去动作中先发生的那个。,went,has gone,was going
74,She realized she __________ her phone at home when she reached the office.,B (had left),Unit 4,Past tenses 2,We use Past Perfect for the first of two past actions.,Chúng ta dùng thì Quá khứ hoàn thành cho hành động xảy ra trước trong hai hành động quá khứ.,Usamos el Pasado Perfecto para la primera de dos acciones pasadas.,我们使用过去完成时来表示两个过去动作中先发生的那个。,left,has left,leaves
75,He __________ for the company for ten years when he decided to resign.,C (had been working),Unit 4,Past tenses 2,We use Past Perfect Continuous to emphasize how long something happened before a past moment.,Chúng ta dùng thì Quá khứ hoàn thành tiếp diễn để nhấn mạnh khoảng thời gian một việc xảy ra trước một thời điểm trong quá khứ.,Usamos el Pasado Perfecto Continuo para enfatizar cuánto tiempo sucedió algo antes de un momento pasado.,我们使用过去完成进行时来强调某事在过去某时刻之前持续了多久。,worked,has worked,was working
76,They __________ tennis for an hour when it started to rain.,C (had been playing),Unit 4,Past tenses 2,We use Past Perfect Continuous to emphasize how long something happened before a past moment.,Chúng ta dùng thì Quá khứ hoàn thành tiếp diễn để nhấn mạnh khoảng thời gian một việc xảy ra trước một thời điểm trong quá khứ.,Usamos el Pasado Perfecto Continuo para enfatizar cuánto tiempo sucedió algo antes de un momento pasado.,我们使用过去完成进行时来强调某事在过去某时刻之前持续了多久。,played,have played,were playing
77,I __________ for the bus for 20 minutes before it finally arrived.,C (had been waiting),Unit 4,Past tenses 2,We use Past Perfect Continuous to emphasize how long something happened before a past moment.,Chúng ta dùng thì Quá khứ hoàn thành tiếp diễn để nhấn mạnh khoảng thời gian một việc xảy ra trước một thời điểm trong quá khứ.,Usamos el Pasado Perfecto Continuo para enfatizar cuánto tiempo sucedió algo antes de un momento pasado.,我们使用过去完成进行时来强调某事在过去某时刻之前持续了多久。,waited,have waited,am waiting
78,I __________ my manager tomorrow morning to discuss my promotion.,B (am meeting),Unit 5,Future 1,We use Present Continuous for fixed arrangements in the future.,Chúng ta dùng thì Hiện tại tiếp diễn cho các sự sắp xếp cố định trong tương lai.,Usamos el Presente Continuo para arreglos fijos en el futuro.,我们使用现在进行时来表示将来确定的安排。,meet,met,will meet
79,We __________ a party this Saturday so we are busy cleaning.,B (are having),Unit 5,Future 1,We use Present Continuous for fixed arrangements in the future.,Chúng ta dùng thì Hiện tại tiếp diễn cho các sự sắp xếp cố định trong tương lai.,Usamos el Presente Continuo para arreglos fijos en el futuro.,我们使用现在进行时来表示将来确定的安排。,have,will have,had
